trip_id,route_id,trip_sequence,start_stop_id,end_stop_id,scheduled_stop_count,is_estimated,source_file,source_page,effective_from,effective_until,source_last_updated,freshness_as_of,freshness_status
bus-12-p04-c001,12,1,bus-terminal-pakem-ee26af28,bus-terminal-condongcatur-fcb890e4,32,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c002,12,2,bus-terminal-pakem-ee26af28,bus-terminal-condongcatur-fcb890e4,32,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c003,12,3,bus-terminal-pakem-ee26af28,bus-terminal-condongcatur-fcb890e4,32,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c004,12,4,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c005,12,5,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c006,12,6,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c007,12,7,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c008,12,8,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c009,12,9,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c010,12,10,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
