trip_id,service_id,train_number,stop_sequence,stop_id,station_name_raw,scheduled_time_raw,scheduled_time_local,day_offset,source_file,source_page,effective_from,effective_until,source_last_updated,freshness_as_of,freshness_status
rail-krl_yogyakarta_palur-720,krl_yogyakarta_palur,720,1,rail-yogyakarta-ee79e4bf,Yogyakarta,05:05,05:05,0,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-720,krl_yogyakarta_palur,720,2,rail-lempuyangan-165ee6f0,Lempuyangan,05:10,05:10,0,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-720,krl_yogyakarta_palur,720,3,rail-maguwo-489e95b8,Maguwo,05:17,05:17,0,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-720,krl_yogyakarta_palur,720,4,rail-brambanan-00e94f37,Brambanan,05:26,05:26,0,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-720,krl_yogyakarta_palur,720,5,rail-srowot-56a56498,Srowot,05:33,05:33,0,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-720,krl_yogyakarta_palur,720,6,rail-klaten-e7b4990a,Klaten,05:40,05:40,0,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-720,krl_yogyakarta_palur,720,7,rail-ceper-ad02f5e6,Ceper,05:49,05:49,0,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-720,krl_yogyakarta_palur,720,8,rail-delanggu-cb9b7971,Delanggu,05:56,05:56,0,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-720,krl_yogyakarta_palur,720,9,rail-gawok-67f76c7a,Gawok,06:03,06:03,0,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-720,krl_yogyakarta_palur,720,10,rail-purwosari-e43dd915,Purwosari,06:11,06:11,0,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
