trip_id,service_id,train_number,service_class,service_days,trip_sequence,source_file,source_page,effective_from,effective_until,source_last_updated,freshness_as_of,freshness_status
rail-krl_yogyakarta_palur-720,krl_yogyakarta_palur,720,regular,not_stated,1,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-730f,krl_yogyakarta_palur,730F,regular,not_stated,2,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-702,krl_yogyakarta_palur,702,regular,not_stated,3,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-712,krl_yogyakarta_palur,712,regular,not_stated,4,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-722,krl_yogyakarta_palur,722,regular,not_stated,5,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-704,krl_yogyakarta_palur,704,regular,not_stated,6,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-724,krl_yogyakarta_palur,724,regular,not_stated,7,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-714,krl_yogyakarta_palur,714,regular,not_stated,8,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-706,krl_yogyakarta_palur,706,regular,not_stated,9,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-726,krl_yogyakarta_palur,726,regular,not_stated,10,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-716,krl_yogyakarta_palur,716,regular,not_stated,11,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-708,krl_yogyakarta_palur,708,regular,not_stated,12,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-728,krl_yogyakarta_palur,728,regular,not_stated,13,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-718,krl_yogyakarta_palur,718,regular,not_stated,14,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_yogyakarta_palur-710,krl_yogyakarta_palur,710,regular,not_stated,15,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_palur_yogyakarta-701,krl_palur_yogyakarta,701,regular,not_stated,1,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_palur_yogyakarta-711,krl_palur_yogyakarta,711,regular,not_stated,2,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_palur_yogyakarta-721,krl_palur_yogyakarta,721,regular,not_stated,3,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_palur_yogyakarta-703,krl_palur_yogyakarta,703,regular,not_stated,4,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_palur_yogyakarta-723,krl_palur_yogyakarta,723,regular,not_stated,5,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_palur_yogyakarta-705,krl_palur_yogyakarta,705,regular,not_stated,6,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_palur_yogyakarta-725,krl_palur_yogyakarta,725,regular,not_stated,7,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_palur_yogyakarta-715,krl_palur_yogyakarta,715,regular,not_stated,8,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_palur_yogyakarta-707,krl_palur_yogyakarta,707,regular,not_stated,9,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_palur_yogyakarta-727,krl_palur_yogyakarta,727,regular,not_stated,10,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_palur_yogyakarta-717,krl_palur_yogyakarta,717,regular,not_stated,11,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-krl_palur_yogyakarta-709,krl_palur_yogyakarta,709,regular,not_stated,12,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-521,yia_yogyakarta_airport,521,regular,not_stated,1,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-561,yia_yogyakarta_airport,561,regular,not_stated,2,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-547f,yia_yogyakarta_airport,547F,xpress,fri_sat_sun,3,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-523,yia_yogyakarta_airport,523,regular,not_stated,4,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-535,yia_yogyakarta_airport,535,xpress,not_stated,5,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-549,yia_yogyakarta_airport,549,xpress,not_stated,6,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-525,yia_yogyakarta_airport,525,regular,not_stated,7,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-563,yia_yogyakarta_airport,563,regular,not_stated,8,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-537,yia_yogyakarta_airport,537,xpress,not_stated,9,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-551,yia_yogyakarta_airport,551,xpress,not_stated,10,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-539,yia_yogyakarta_airport,539,xpress,not_stated,11,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-527,yia_yogyakarta_airport,527,regular,not_stated,12,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-565,yia_yogyakarta_airport,565,regular,not_stated,13,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-553,yia_yogyakarta_airport,553,xpress,not_stated,14,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-529,yia_yogyakarta_airport,529,regular,not_stated,15,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-541,yia_yogyakarta_airport,541,xpress,not_stated,16,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-555,yia_yogyakarta_airport,555,xpress,not_stated,17,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-567,yia_yogyakarta_airport,567,regular,not_stated,18,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-531,yia_yogyakarta_airport,531,regular,not_stated,19,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-543,yia_yogyakarta_airport,543,xpress,not_stated,20,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-557,yia_yogyakarta_airport,557,xpress,not_stated,21,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-569,yia_yogyakarta_airport,569,regular,not_stated,22,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-559,yia_yogyakarta_airport,559,xpress,not_stated,23,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-533,yia_yogyakarta_airport,533,regular,not_stated,24,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_yogyakarta_airport-545,yia_yogyakarta_airport,545,xpress,not_stated,25,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-522,yia_airport_yogyakarta,522,regular,not_stated,1,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-562,yia_airport_yogyakarta,562,regular,not_stated,2,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-548f,yia_airport_yogyakarta,548F,xpress,fri_sat_sun,3,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-524,yia_airport_yogyakarta,524,regular,not_stated,4,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-536,yia_airport_yogyakarta,536,xpress,not_stated,5,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-550,yia_airport_yogyakarta,550,xpress,not_stated,6,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-526,yia_airport_yogyakarta,526,regular,not_stated,7,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-538,yia_airport_yogyakarta,538,xpress,not_stated,8,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-552,yia_airport_yogyakarta,552,xpress,not_stated,9,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-564,yia_airport_yogyakarta,564,regular,not_stated,10,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-540,yia_airport_yogyakarta,540,xpress,not_stated,11,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
