route_id,stop_sequence,stop_id,stop_name_raw,source_file,source_page,effective_from,effective_until,source_last_updated,freshness_as_of,freshness_status
1A,1,bus-terminal-prambanan-fabbab31,Terminal Prambanan,trans-jogja.csv,,,,,2026-09-12,unverified
1A,2,bus-edotel-kalasan-2-9b48bce6,TPB Edotel Kalasan 2,trans-jogja.csv,,,,,2026-09-12,unverified
1A,3,bus-rs-bhayangkara-c2217522,RS Bhayangkara,trans-jogja.csv,,,,,2026-09-12,unverified
1A,4,bus-pasar-kalasan-a79eab4a,Portable Pasar Kalasan,trans-jogja.csv,,,,,2026-09-12,unverified
1A,5,bus-cupuwatu-ac95b213,Cupuwatu,trans-jogja.csv,,,,,2026-09-12,unverified
1A,6,bus-jalan-solo-kr-2-9c904b99,Halte Jl. Solo KR 2,trans-jogja.csv,,,,,2026-09-12,unverified
1A,7,bus-bandara-adisucipto-545ec9b5,Halte TJ Bandara Adisucipto,trans-jogja.csv,,,,,2026-09-12,unverified
1A,8,bus-hyundai-9b4bda77,Halte Hyundai,trans-jogja.csv,,,,,2026-09-12,unverified
1A,9,bus-jalan-solo-jayakarta-1c449de7,Halte Jl. Solo (Jayakarta),trans-jogja.csv,,,,,2026-09-12,unverified
1A,10,bus-janti-selatan-bawah-jembatan-04f06a52,Halte Janti Selatan (Bawah Jembatan),trans-jogja.csv,,,,,2026-09-12,unverified
1A,11,bus-ambarukmo-ca38052e,Halte Ambarukmo,trans-jogja.csv,,,,,2026-09-12,unverified
1A,12,bus-gedung-wanita-763bc43c,Halte Gedung Wanita,trans-jogja.csv,,,,,2026-09-12,unverified
1A,13,bus-lpp-80c48bc4,Halte LPP,trans-jogja.csv,,,,,2026-09-12,unverified
1A,14,bus-superindo-urip-sumoharjo-9f223797,Halte Superindo Urip Sumoharjo,trans-jogja.csv,,,,,2026-09-12,unverified
1A,15,bus-rs-bethesda-634b544c,Halte RS Bethesda,trans-jogja.csv,,,,,2026-09-12,unverified
1A,16,bus-sudirman-bumiputera-453f2846,Halte Sudirman Bumiputera,trans-jogja.csv,,,,,2026-09-12,unverified
1A,17,bus-mangkubumi-1-c45ff36a,Halte Mangkubumi 1,trans-jogja.csv,,,,,2026-09-12,unverified
1A,18,bus-mangkubumi-2-f24a8c2b,Halte Mangkubumi 2,trans-jogja.csv,,,,,2026-09-12,unverified
1A,19,bus-eks-menara-kopi-n-a0aeefe1,Eks Menara Kopi (Utara),trans-jogja.csv,,,,,2026-09-12,unverified
1A,20,bus-kridosono-2bc75039,Halte Kridosono,trans-jogja.csv,,,,,2026-09-12,unverified
