route_id,basis,service_start_local,service_end_local,service_end_alternate_local,headway_min_minutes,headway_max_minutes,headway_is_approximate,fleet_count,notes,source_file,source_page,effective_from,effective_until,source_last_updated,freshness_as_of,freshness_status
1A,map_nominal,05:30,20:30,,11,11,true,,Service ends at nearest stop; published times may change.,Peta Integrasi Angkutan Umum.pdf,3,2026-01-01,,2025-12-21,2026-09-12,unverified
1A,route_csv,05:30,20:30,,,,,9,Undated source CSV; retained separately from PDF profiles.,trans-jogja.csv,,,,,2026-09-12,unverified
1B,map_nominal,05:30,20:30,,16,16,true,,Service ends at nearest stop; published times may change.,Peta Integrasi Angkutan Umum.pdf,3,2026-01-01,,2025-12-21,2026-09-12,unverified
1B,route_csv,05:30,20:30,,,,,7,Undated source CSV; retained separately from PDF profiles.,trans-jogja.csv,,,,,2026-09-12,unverified
2A,map_nominal,05:30,20:30,,21,21,true,,Service ends at nearest stop; published times may change.,Peta Integrasi Angkutan Umum.pdf,3,2026-01-01,,2025-12-21,2026-09-12,unverified
2A,route_csv,05:30,20:30,,,,,6,Undated source CSV; retained separately from PDF profiles.,trans-jogja.csv,,,,,2026-09-12,unverified
2B,map_nominal,05:30,20:30,,16,16,true,,Service ends at nearest stop; published times may change.,Peta Integrasi Angkutan Umum.pdf,3,2026-01-01,,2025-12-21,2026-09-12,unverified
2B,route_csv,05:30,20:30,,,,,8,Undated source CSV; retained separately from PDF profiles.,trans-jogja.csv,,,,,2026-09-12,unverified
3A,map_nominal,05:30,20:30,,12,12,true,,Service ends at nearest stop; published times may change.,Peta Integrasi Angkutan Umum.pdf,3,2026-01-01,,2025-12-21,2026-09-12,unverified
3A,route_csv,05:30,20:30,,,,,10,Undated source CSV; retained separately from PDF profiles.,trans-jogja.csv,,,,,2026-09-12,unverified
3B,map_nominal,05:30,20:30,,12,12,true,,Service ends at nearest stop; published times may change.,Peta Integrasi Angkutan Umum.pdf,3,2026-01-01,,2025-12-21,2026-09-12,unverified
3B,route_csv,05:30,20:30,,,,,9,Undated source CSV; retained separately from PDF profiles.,trans-jogja.csv,,,,,2026-09-12,unverified
4A,map_nominal,05:30,20:30,,25,25,true,,Service ends at nearest stop; published times may change.,Peta Integrasi Angkutan Umum.pdf,3,2026-01-01,,2025-12-21,2026-09-12,unverified
4A,route_csv,05:30,20:30,,,,,4,Undated source CSV; retained separately from PDF profiles.,trans-jogja.csv,,,,,2026-09-12,unverified
4B,map_nominal,05:30,20:30,,25,25,true,,Service ends at nearest stop; published times may change.,Peta Integrasi Angkutan Umum.pdf,3,2026-01-01,,2025-12-21,2026-09-12,unverified
4B,route_csv,05:30,20:30,,,,,4,Undated source CSV; retained separately from PDF profiles.,trans-jogja.csv,,,,,2026-09-12,unverified
5A,map_nominal,05:30,20:30,,25,25,true,,Service ends at nearest stop; published times may change.,Peta Integrasi Angkutan Umum.pdf,3,2026-01-01,,2025-12-21,2026-09-12,unverified
5A,route_csv,05:30,20:30,,,,,5,Undated source CSV; retained separately from PDF profiles.,trans-jogja.csv,,,,,2026-09-12,unverified
5B,map_nominal,05:30,20:30,,25,25,true,,Service ends at nearest stop; published times may change.,Peta Integrasi Angkutan Umum.pdf,3,2026-01-01,,2025-12-21,2026-09-12,unverified
5B,route_csv,05:30,20:30,,,,,4,Undated source CSV; retained separately from PDF profiles.,trans-jogja.csv,,,,,2026-09-12,unverified
6,map_nominal,05:30,20:30,,20,20,true,,Service ends at nearest stop; published times may change.,Peta Integrasi Angkutan Umum.pdf,3,2026-01-01,,2025-12-21,2026-09-12,unverified
