stop_id,mode,stop_name,canonical_name,direction_code,aliases,match_status,matched_activity_id,longitude,latitude,activity_observed_at,evidence_count,match_as_of
airport_rail-wates-2540640a,airport_rail,Wates,wates,,Wates,unmatched,,,,,0,2026-09-12
airport_rail-yia-7b5a2304,airport_rail,YIA,yia,,YIA,unmatched,,,,,0,2026-09-12
airport_rail-yogyakarta-c31b2603,airport_rail,Yogyakarta,yogyakarta,,Yogyakarta,matched_exact,6a8a8dda52d86e03b519227c,110.36179815416784,-7.789620476123076,2026-08-23T06:06:18.544Z,1,2026-09-12
bus-a-m-sangaji-e-43a1c92b,bus,Halte A.M. Sangaji (Timur),a m sangaji,E,Halte A.M. Sangaji (Timur),review_fuzzy,,,,,0,2026-09-12
bus-abadi-hotel-jogja-ae73687b,bus,Abadi Hotel Jogja,abadi hotel jogja,,Abadi Hotel Jogja,unmatched,,,,,0,2026-09-12
bus-abu-bakar-ali-953e3c6d,bus,Halte Abu Bakar Ali,abu bakar ali,,Halte Abu Bakar Ali,unmatched,,,,,0,2026-09-12
bus-alfamart-pokoh-e-c8fc8eb4,bus,Alfamart Pokoh (T),alfamart pokoh,E,Alfamart Pokoh (T),unmatched,,,,,0,2026-09-12
bus-am-sangaji-w-aa483780,bus,AM Sangaji (Barat),am sangaji,W,AM Sangaji (Barat),review_fuzzy,,,,,0,2026-09-12
bus-ambarukmo-ca38052e,bus,Halte Ambarukmo,ambarukmo,,Halte Ambarukmo,review_fuzzy,,,,,0,2026-09-12
bus-ambarukmo-plaza-2-565c1eec,bus,Ambarukmo Plaza 2,ambarukmo plaza 2,,Ambarukmo Plaza 2,unmatched,,,,,0,2026-09-12
bus-amik-bsi-60e8ad5a,bus,TPB AMIK BSI,amik bsi,,TPB AMIK BSI,unmatched,,,,,0,2026-09-12
bus-among-rogo-kota-4654767a,bus,TPB Among Rogo Kota,among rogo kota,,TPB Among Rogo Kota,review_fuzzy,,,,,0,2026-09-12
bus-apmd-e-d0d231a5,bus,APMD (Timur),apmd,E,APMD (Timur),review_fuzzy,,,,,0,2026-09-12
bus-apmd-w-2b5c8bb1,bus,APMD (Barat),apmd,W,APMD (Barat),review_fuzzy,,,,,0,2026-09-12
bus-apotek-muji-sehat-948061e4,bus,TPB Apotek Muji Sehat,apotek muji sehat,,TPB Apotek Muji Sehat,unmatched,,,,,0,2026-09-12
bus-atakrib-jalan-magelang-830dd5b2,bus,Atakrib Jl. Magelang,atakrib jalan magelang,,Atakrib Jl. Magelang,matched_exact,6a8279ea70c999b67933d38e,110.36207623374708,-7.7561639477196245,2026-08-17T03:03:06.596Z,1,2026-09-12
bus-badan-kepegawaian-di-yogyakarta-9ccbb65f,bus,Badan Kepegawaian DI Yogyakarta,badan kepegawaian di yogyakarta,,Badan Kepegawaian DI Yogyakarta,unmatched,,,,,0,2026-09-12
bus-badran-5dad26c1,bus,Badran,badran,,Badran,matched_exact,6a8a80d052d86e03b51910ff,110.35791779774598,-7.788030277687739,2026-08-23T05:10:40.172Z,2,2026-09-12
bus-bandara-adisucipto-545ec9b5,bus,Halte TJ Bandara Adisucipto,bandara adisucipto,,Halte TJ Bandara Adisucipto,review_fuzzy,,,,,0,2026-09-12
bus-bandara-adisutjipto-236fa189,bus,Bandara Adisutjipto,bandara adisutjipto,,Bandara Adisutjipto,review_fuzzy,,,,,0,2026-09-12
