stop_name,candidate_activity_id,candidate_name,longitude,latitude,routes,score
Jogja City Mall (B),6a82762f38bb192425f47b1b,Aksesibilitas Halte TPB Trans Jogja - JCM A,110.36176508244739,-7.753358379938787,EV3,
MMTC Yogya,6a8276c070c999b67933d100,Aksesibilitas Halte Trans Jogja - MMTC Yogyakarta,110.36207457674249,-7.753191901082519,5B|9|EV3,0.613333
Karangwaru (B),6a8287f89870dcf66e45637e,Bus Stop Halte Trans Jogja - Karangwaru,110.36120706604345,-7.7718298755167226,5B|9|EV3,1.000000
Karangwaru (Timur),6a8287f89870dcf66e45637e,Bus Stop Halte Trans Jogja - Karangwaru,110.36120706604345,-7.7718298755167226,5A|9,1.000000
Halte Superindo Urip Sumoharjo,6a8d7398eca288692ef3da8b,HALTE TAKSI URIP SUMOHARJO,110.38428667127943,-7.783115407637396,1A|5B,0.663636
APMD (Timur),6a92d19952d86e03b51dd0d3,Halte APMD A,110.39334560001697,-7.791127300004874,4A,0.680000
APMD (Barat),6a92d19952d86e03b51dd0d3,Halte APMD A,110.39334560001697,-7.791127300004874,4B,0.680000
TPB GOR Among Rogo,6a93933052d86e03b51e3201,Halte Among Rogo A,110.38480921147521,-7.798480522216252,2A,0.661538
TPB Among Rogo Kota,6a93933052d86e03b51e3201,Halte Among Rogo A,110.38480921147521,-7.798480522216252,2B,0.733333
BKD,6a8822233be6880665734fc9,Halte BKD A,110.35596291688137,-7.782405022552254,13,0.650000
BKD (Selatan),6a8822233be6880665734fc9,Halte BKD A,110.35596291688137,-7.782405022552254,8,0.650000
BPD Gamping (Selatan),6a8aa8c20d6732db988c2ee6,Halte BPD Gamping,110.31877570245945,-7.801671229224345,10|6,1.000000
Halte BRI Cabang Bantul,6a82a5f44fd70be4125ce85c,Halte BRI Bantul,110.33223962062823,-7.882134560860607,15,0.711111
Biologi UGM (S),6a8cf35c52d86e03b51a595f,Halte Biologi UGM,110.3767941399006,-7.765264836068539,12,1.000000
Halte Cik Di Tiro 1,6a8d00b0eca288692ef3728a,Halte Cik Di Tiro,110.37512734006174,-7.782377312450095,11|2B|3A|5A,0.850000
Portabel Druwo,6a8d3c3052d86e03b51a9270,Halte Druwo A,110.36646357747759,-7.833864879801714,9,0.700000
Dukuh (Timur),6a8569d6bbd0aa678bab8408,Halte Dukuh A,110.35521879380076,-7.821689730573439,15,0.700000
Dukuh (Barat),6a8569d6bbd0aa678bab8408,Halte Dukuh A,110.35521879380076,-7.821689730573439,15,0.700000
TPB Edotel Kalasan 2,6a86de220235f477d35918c3,Halte Edotel Kalasan A,110.48271546730604,-7.75677283791336,1A,0.762500
TPB Edotel Kalasan 1,6a86de220235f477d35918c3,Halte Edotel Kalasan A,110.48271546730604,-7.75677283791336,1A,0.762500
Eks Menara Kopi (S),6a86be25460277aa8415118b,Halte Eks Menara Kopi A,110.37010514084454,-7.789256599640282,13|1A|2A|3A|8,0.862500
Eks Menara Kopi (Utara),6a86be25460277aa8415118b,Halte Eks Menara Kopi A,110.37010514084454,-7.789256599640282,10|1A|2A|8,0.862500
Eks Menara Kopi Selatan,6a86be25460277aa8415118b,Halte Eks Menara Kopi A,110.37010514084454,-7.789256599640282,13,0.750000
Eks. Stasiun KA Bantul,6a82a16138bb192425f4b26e,Halte Eks Stasiun Bantul,110.32934103284327,-7.887393105175448,15,0.853846
FKG UGM (S),6a8cf57152d86e03b51a5a67,Halte FKG UGM A,110.37520499526164,-7.771397214324622,12|3B|4A|5A,0.791667
FKG UGM (U),6a8cf57152d86e03b51a5a67,Halte FKG UGM A,110.37520499526164,-7.771397214324622,12|3A|4B|5B,0.791667
TPB Gambiran 1,6a93a40452d86e03b51e3e65,Halte Gambiran A,110.39098195776171,-7.8169272310724836,2B,0.673333
Gembira Loka,6a939db0dc237a3a8a7a12dd,Halte Gembira Loka A,110.40007064518875,-7.80223291459842,2A,0.820513
Halte Gereja Pugeran,6a85639f3dbe4dacc784adca,Halte Gereja Pugeran A,110.3559019322164,-7.816596831411331,15,0.826667
TPB Gudang SGM 2,6a89347152d86e03b51847e6,Halte Gudang SGM B,110.39002507001555,-7.827243619843017,3A|3B|4A|4B,0.750000
TPB Gudang SGM,6a89347152d86e03b51847e6,Halte Gudang SGM B,110.39002507001555,-7.827243619843017,3A|3B|4A|4B,0.812121
Hayam Wuruk (Barat),6a82b0c438bb192425f4c552,Halte Hayam Wuruk A,110.3726422000492,-7.795566199997523,4A,0.816667
Hayam Wuruk (Timur),6a82b0c438bb192425f4c552,Halte Hayam Wuruk A,110.3726422000492,-7.795566199997523,4B,0.816667
Hotel Utara (T),6a86caf989acf23707a36360,Halte Hotel Utara A,110.36100149127998,-7.7797239601825225,9|EV3,0.816667
Hotel Utara,6a86caf989acf23707a36360,Halte Hotel Utara A,110.36100149127998,-7.7797239601825225,2B|9|EV3,0.816667
Hotel Utara (B),6a88263dd57440d48a1f481b,Halte Hotel Utara B,110.36085277059749,-7.780389688727766,EV3,0.816667
Jl. Mataram Hotel Akur,6a86baac0235f477d358e46e,Halte Jalan Mataram,110.36803342412259,-7.794265961281729,10|15|1A|1B|6,0.621622
Jend. Sudirman (U),6a8ba24b52d86e03b519bec8,Halte Jend. Sudirman (Santika),110.36882439062049,-7.7827849512265175,13,0.725490
Halte Sudirman (Santika),6a8ba24b52d86e03b519bec8,Halte Jend. Sudirman (Santika),110.36882439062049,-7.7827849512265175,11|3B,0.785586
JL Colombo (Samirono),6a8d39db52d86e03b51a8ece,Halte Jl. Colombo UNY,110.38656902084153,-7.777819224696188,2B,0.661538
Jlagran,6a8d7e2452d86e03b51adbe2,Halte Jlagran stasiun Tugu,110.36186320559472,-7.789706112181804,EV3,
Jogokariyan,6a8d3e30eca288692ef3a8fc,Halte Jogokariyan A,110.36772397957435,-7.8238401652126015,11|9,0.750000
KHA Dahlan (S),6a855e58bbd0aa678bab72c7,Halte KHA Dahlan A,110.36014288772952,-7.801236698318434,10|13|15|2B|3A|6|8,0.812121
KHA Dahlan (Utara),6a855e58bbd0aa678bab72c7,Halte KHA Dahlan A,110.36014288772952,-7.801236698318434,10|15|1B|3B|6|8,0.812121
Kantor Kelurahan Pendowoharjo,6a82abfd38bb192425f4bef7,Halte Kantor Kal. Pendowoharjo A,110.33947652623834,-7.863394360607018,15,0.648889
Kantor Kapanewon Bantul,6a82a4ed4fd70be4125ce721,Halte Kantor Kap. Bantul,110.33170883084773,-7.883524911426363,15,0.710000
Kompi Senapan-C (Selatan),6a881c1fd57440d48a1f3af3,Halte Kompi Senapan-C,110.33256331627194,-7.777350027437976,8,1.000000
Kosudgama (U),6a8d081852d86e03b51a643e,Halte Kosudgama,110.37864509142526,-7.776162838724844,12,1.000000
Halte TJ Colombo (Kosudgama),6a8d081852d86e03b51a643e,Halte Kosudgama,110.37864509142526,-7.776162838724844,2A,0.615385
TPB Lowanu,6a89267052d86e03b5183591,Halte Lowanu A,110.37603009886237,-7.817054694483318,3A,0.714286
Portable Teras Malioboro 2,6a85506ebbd0aa678bab6390,Halte Malioboro 2,110.36559857460782,-7.795185718747462,10|15|1A|1B|6,0.738095
Halte Malioboro 2 (Kepatihan),6a85506ebbd0aa678bab6390,Halte Malioboro 2,110.36559857460782,-7.795185718747462,10|15|1A|2A|3A|6|8|EV3,0.679167
