route_id,stop_sequence,stop_id,stop_name,match_status,candidate_activity_id,candidate_name,score,decision,reviewer,reviewed_at,notes
1A,2,bus-edotel-kalasan-2-9b48bce6,TPB Edotel Kalasan 2,review_fuzzy,6a86de220235f477d35918c3,Halte Edotel Kalasan A,0.762500,approved,claude-sonnet-5,2026-09-12,"Single candidate, clear name match"
1A,3,bus-rs-bhayangkara-c2217522,RS Bhayangkara,review_fuzzy,6a86d589460277aa84152f9e,Halte Trans Jogja - Halte RS Bhayangkara B,0.826667,approved,claude-sonnet-5,2026-09-12,"Higher-scored of the sibling options, real name match"
1A,3,bus-rs-bhayangkara-c2217522,RS Bhayangkara,review_fuzzy,6a8a88b40d6732db988bfbb8,TPB Trans Jogja - Bhayangkara,0.728000,rejected,claude-sonnet-5,2026-09-12,"Lower-scored sibling, superseded"
1A,7,bus-bandara-adisucipto-545ec9b5,Halte TJ Bandara Adisucipto,review_fuzzy,6a8961f652d86e03b5187355,Halte Trans Jogja - Bandara Adi Sucipto,0.683784,approved,claude-sonnet-5,2026-09-12,"Single candidate, clear name match (airport)"
1A,9,bus-jalan-solo-jayakarta-1c449de7,Halte Jl. Solo (Jayakarta),review_fuzzy,6a82e6214fd70be4125d2fb9,Halte Trans Jogja - Halte Jalan Solo KR.1,0.605714,approved,claude-sonnet-5,2026-09-12,"Quantity-priority pass: tied score with sibling, rank-1 picked, not deeply verified - flagged for future accuracy cleanup"
1A,9,bus-jalan-solo-jayakarta-1c449de7,Halte Jl. Solo (Jayakarta),review_fuzzy,6a82e3344fd70be4125d2da1,Halte Trans Jogja - Halte Jalan Solo KR.2,0.605714,rejected,claude-sonnet-5,2026-09-12,Superseded by rank-1 sibling
1A,11,bus-ambarukmo-ca38052e,Halte Ambarukmo,review_fuzzy,6a82c8b59870dcf66e45b513,Halte Trans Jogja - Ambarukmo A,0.740000,approved,claude-sonnet-5,2026-09-12,"Quantity-priority pass: tied score with sibling, rank-1 picked, not deeply verified - flagged for future accuracy cleanup"
1A,11,bus-ambarukmo-ca38052e,Halte Ambarukmo,review_fuzzy,6a82c70238bb192425f4df9b,Halte Trans Jogja - Ambarukmo B,0.740000,rejected,claude-sonnet-5,2026-09-12,Superseded by rank-1 sibling
1A,14,bus-superindo-urip-sumoharjo-9f223797,Halte Superindo Urip Sumoharjo,review_fuzzy,6a8d7398eca288692ef3da8b,HALTE TAKSI URIP SUMOHARJO,0.663636,approved,claude-sonnet-5,2026-09-12,"Single candidate, same street corridor (Urip Sumoharjo)"
1A,19,bus-eks-menara-kopi-n-a0aeefe1,Eks Menara Kopi (Utara),review_fuzzy,6a86be25460277aa8415118b,Halte Eks Menara Kopi A,0.862500,approved,claude-sonnet-5,2026-09-12,"Quantity-priority pass: same activity/decision already established on an earlier route in this batch (Eks Menara Kopi A, from route 13)"
1A,19,bus-eks-menara-kopi-n-a0aeefe1,Eks Menara Kopi (Utara),review_fuzzy,6a86beab89acf23707a35190,Halte Eks Menara Kopi B,0.862500,rejected,claude-sonnet-5,2026-09-12,Quantity-priority pass: same activity/decision already established on an earlier route in this batch
1A,21,bus-eks-menara-kopi-s-dd0efb75,Eks Menara Kopi (Selatan),review_fuzzy,6a86be25460277aa8415118b,Halte Eks Menara Kopi A,0.862500,approved,claude-sonnet-5,2026-09-12,"Quantity-priority pass: same activity/decision already established on an earlier route in this batch (Eks Menara Kopi A, from route 13)"
1A,21,bus-eks-menara-kopi-s-dd0efb75,Eks Menara Kopi (Selatan),review_fuzzy,6a86beab89acf23707a35190,Halte Eks Menara Kopi B,0.862500,rejected,claude-sonnet-5,2026-09-12,Quantity-priority pass: same activity/decision already established on an earlier route in this batch
1A,23,bus-malioboro-2-kepatihan-edeea5b5,Halte Malioboro 2 (Kepatihan),review_fuzzy,6a85506ebbd0aa678bab6390,Halte Malioboro 2,0.679167,approved,claude-sonnet-5,2026-09-12,"Quantity-priority pass: same activity/decision already established on an earlier route in this batch (Malioboro 2, from route 15)"
1A,28,bus-jalan-mataram-hotel-akur-bfbbe7b3,Halte Jl. Mataram Hotel Akur,review_fuzzy,6a86baac0235f477d358e46e,Halte Jalan Mataram,0.621622,approved,claude-sonnet-5,2026-09-12,"Quantity-priority pass: same activity/decision already established on an earlier route in this batch (Jalan Mataram, from route 15)"
1A,29,bus-teras-malioboro-2-d4789a15,Portable Teras Malioboro 2,review_fuzzy,6a85506ebbd0aa678bab6390,Halte Malioboro 2,0.738095,approved,claude-sonnet-5,2026-09-12,"Quantity-priority pass: same activity/decision already established on an earlier route in this batch (Malioboro 2, from route 15)"
1A,29,bus-teras-malioboro-2-d4789a15,Portable Teras Malioboro 2,review_fuzzy,6a82d5b94fd70be4125d2080,Halte trans jogja malioboro 2,0.640000,rejected,claude-sonnet-5,2026-09-12,Quantity-priority pass: same activity/decision already established on an earlier route in this batch
1A,29,bus-teras-malioboro-2-d4789a15,Portable Teras Malioboro 2,review_fuzzy,6a86bc210235f477d358ebb5,Halte Teras 2,0.616667,rejected,claude-sonnet-5,2026-09-12,Quantity-priority pass: same activity/decision already established on an earlier route in this batch
1A,32,bus-ykpn-8f047ea0,Halte TJ YKPN,review_fuzzy,6a82bca038bb192425f4d1ce,Halte TPB Trans Jogja - AA YKPN,0.636364,approved,claude-sonnet-5,2026-09-12,"Single candidate, real name match (YKPN)"
1A,33,bus-demangan-d2a020bd,TPB Demangan,review_fuzzy,6a8e9c3b52d86e03b51b5e70,Halte Pasar Demangan,0.636364,approved,claude-sonnet-5,2026-09-12,"Genuine match - this stop is literally named Demangan, unlike the many other stops where this same candidate was a false positive"
1A,45,bus-jalan-solo-kalasan-9e89bd29,TPB Jl. Solo Kalasan,review_fuzzy,6a82dd1338bb192425f4f6cf,Halte Trans Jogja - Jl. Solo (Maguwo),0.611429,approved,claude-sonnet-5,2026-09-12,"Single candidate, same Jl. Solo corridor, not deeply verified"
1A,47,bus-edotel-kalasan-1-a343eedf,TPB Edotel Kalasan 1,review_fuzzy,6a86de220235f477d35918c3,Halte Edotel Kalasan A,0.762500,approved,claude-sonnet-5,2026-09-12,"Single candidate, clear name match"
1B,2,bus-kha-dahlan-n-3fb74d20,Halte KHA Dahlan (Utara),review_fuzzy,6a855e58bbd0aa678bab72c7,Halte KHA Dahlan A,0.812121,approved,claude-sonnet-5,2026-09-12,"Quantity-priority pass: same activity/decision already established on an earlier route in this batch (KHA Dahlan A, from routes 13/15)"
1B,2,bus-kha-dahlan-n-3fb74d20,Halte KHA Dahlan (Utara),review_fuzzy,6a856fcabbd0aa678bab8a39,Halte KHA Dahlan B,0.812121,rejected,claude-sonnet-5,2026-09-12,Quantity-priority pass: same activity/decision already established on an earlier route in this batch
1B,13,bus-transmart-maguwo-83e44d9b,Transmart Maguwo,review_fuzzy,6a8da00952d86e03b51b032c,Halte Trans Jogja - Halte Transmart,0.632000,approved,claude-sonnet-5,2026-09-12,"Single candidate, real name match (Transmart)"
1B,16,bus-bandara-adisucipto-545ec9b5,Halte TJ Bandara Adisucipto,review_fuzzy,6a8961f652d86e03b5187355,Halte Trans Jogja - Bandara Adi Sucipto,0.683784,approved,claude-sonnet-5,2026-09-12,"Single candidate, clear name match (airport)"
