route_id,stop_sequence,stop_id,stop_name,match_status,candidate_activity_id,candidate_name,score,decision,reviewer,reviewed_at,notes
13,1,bus-pusat-kuliner-belut-godean-7bc5eef1,Pusat Kuliner Belut Godean,unmatched,,,,,,,no candidate generated; Godean corridor has no MAPID Activity survey coverage
13,2,bus-kantor-kap-godean-n-0acc0655,Kantor Kap. Godean (U),review_fuzzy,6a82a4ed4fd70be4125ce721,Halte Kantor Kap. Bantul,0.658824,rejected,claude-sonnet-5,2026-09-12,"Kantor Kap. Bantul is 11km south (-7.8835 vs Godean corridor ~-7.78) - different subdistrict office entirely, fuzzy string match only"
13,3,bus-simpang-mandungan-n-8202f0dc,Simpang Mandungan (U),unmatched,,,,,,,no candidate generated
13,4,bus-koramil-godean-n-20a03d03,Koramil Godean (U),unmatched,,,,,,,no candidate generated
13,5,bus-polsek-godean-n-3c7bcc85,Polsek Godean (U),unmatched,,,,,,,no candidate generated
13,6,bus-neutron-godean-n-9dbb4be6,Neutron Godean (U),unmatched,,,,,,,no candidate generated
13,7,bus-indomaret-klajuran-n-05d831ba,Indomaret Klajuran (U),unmatched,,,,,,,no candidate generated
13,8,bus-simpang-gesikan-n-5f50bca2,Simpang Gesikan (U),unmatched,,,,,,,no candidate generated
13,9,bus-simpang-munggur-n-d001f974,Simpang Munggur (U),unmatched,,,,,,,no candidate generated
13,10,bus-simpang-bantulan-n-a468e92b,Simpang Bantulan (U),unmatched,,,,,,,no candidate generated
13,11,bus-kantor-kal-sidoarum-n-075c84d5,Kantor Kal. Sidoarum (U),unmatched,,,,,,,no candidate generated
13,12,bus-toko-saerah-n-27c4075a,Toko Saerah (U),unmatched,,,,,,,no candidate generated
13,13,bus-nogotirto-metro-n-4198d454,Nogotirto Metro (U),unmatched,,,,,,,no candidate generated
13,14,bus-kantor-pos-demak-ijo-n-94aec63b,Kantor Pos Demak Ijo (U),unmatched,,,,,,,no candidate generated
13,15,bus-sdn-1-demak-ijo-n-6c5c9e34,SDN 1 Demak Ijo (U),unmatched,,,,,,,no candidate generated
13,16,bus-pasar-tlogorejo-n-f99b5a4c,Pasar Tlogorejo (U),unmatched,,,,,,,no candidate generated
13,18,bus-mirota-godean-n-b3b375ef,Mirota Godean (U),review_fuzzy,6a881ff9d57440d48a1f3e49,Halte Mirota Godean A,0.823810,approved,claude-sonnet-5,2026-09-12,"Quantity-priority pass: tied score with sibling B, no confirmed direction evidence either way (see prior note - B matches 'Halte Portabel Soragan 2', A likely 'Soragan 1'). Picking rank-1 candidate per project direction to prioritize coverage; may be the wrong side of this pair and should be revisited in a future accuracy cleanup pass."
13,18,bus-mirota-godean-n-b3b375ef,Mirota Godean (U),review_fuzzy,6a882071d57440d48a1f3edc,Halte Mirota Godean B,0.823810,rejected,claude-sonnet-5,2026-09-12,"Superseded by rank-1 sibling (A) under quantity-priority pass - genuinely could be the correct side instead, flagged for future accuracy cleanup"
