route_id,stop_sequence,stop_id,stop_name,match_status,candidate_activity_id,candidate_name,score,decision,reviewer,reviewed_at,notes
3B,48,bus-bkpm-b11114ea,BKPM,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No BKPM (Badan Koordinasi Penanaman Modal) record anywhere in activity_stop_catalog.csv; a geographic scan of the Wonocatur-to-Gedong Kuning Banguntapan stretch (seq47-49, lat -7.799 to -7.807) shows only off-corridor records (SMKN 5, Gembira Loka, Kusumanegara 4, ~500m west on a different street) between the two resolved anchors. Independently confirmed as a gap by two prior review passes (route3a3b_batch3, route3b_remainder). Genuine field-survey gap."
3A,40,bus-blok-o-rs-hardjolukito-882b9a9c,Halte Blok O (RS Hardjolukito),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Hardjolukito'/'Lanud'/'Blok O' record anywhere in the catalog. A geographic scan of the Banguntapan(-7.8078,110.4021)-to-Janti Utara(-7.7832,110.4116) stretch, which also spans this stop's neighbor JEC, returns zero survey points over that ~2.7km gap. Likely the same physical airbase-hospital location as 3B's RS Hardjolukito (bus-rs-hardjolukito-9e48d6f4, seq46), served from the opposite direction - neither side has a survey record. Already independently rejected twice (route3a3b_batch3, route3a_shared_remaining)."
3A,11,bus-bulog-970050c0,Halte Bulog,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Bulog' record anywhere in activity_stop_catalog.csv despite neighbors Cik Di Tiro 1 and Kridosono being well-surveyed elsewhere. The only bus_segments.csv row touching this stop (route 13, Bulog->Kridosono) records travel_time_s=0, the single such zero-value row in the entire 214-row file - a data placeholder, not adjacency evidence - and Kridosono itself (bus-kridosono-2bc75039) has no catalog coordinates to anchor from either. Already independently rejected twice (route3a3b_batch3, route3a_shared_remaining). Genuine field-survey gap."
4B,30,bus-bulog-970050c0,Halte Bulog,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Same stop_id/evidence as the 3A occurrence - no Bulog record in activity_stop_catalog.csv; already independently rejected on route4b_remainder_manual_review.v1.csv as well."
3B,43,bus-hyundai-9b4bda77,Halte Hyundai,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Hyundai' record anywhere in the catalog. A geographic scan of the Bandara Adisucipto(-7.7846,110.4361)-to-Wonocatur(-7.7987,110.4065) stretch, which also spans this stop's neighbors Pasar Angkasa and RS Hardjolukito, returns zero survey points over that ~1.6km segment - a genuine, entirely unsurveyed gap. Already independently rejected (route3b_remainder_manual_review.v1.csv)."
3A,39,bus-jec-5c342f7d,Halte JEC,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No Jogja Expo Center/JEC record anywhere in the catalog, confirmed by both name search and the same empty Banguntapan-to-Janti Utara geographic gap documented for Blok O (RS Hardjolukito). Already independently rejected twice (route3a3b_batch3, route3a_shared_remaining)."
3A,47,bus-kantor-kesehatan-pelabuhan-yogya-46efdf82,Kantor Kesehatan Pelabuhan Yogya,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No Port Health Office record in the catalog. The only real record between the resolved Bandara Adisucipto and RRU Disnaker anchors is 'Halte Trans Jogja - Bina Marga' (110.43083,-7.77459) - a genuine Public Works office record, not the Port Health Office; using it would conflate two different real government agencies. Already independently rejected twice (route3a3b_batch3, route3a_shared_remaining)."
3A,44,bus-kantor-wilayah-djpb-f617b1d2,Kantor Wilayah DJPb,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No Ditjen Perbendaharaan/DJPb/Kanwil record in the Transmart Maguwo-to-Jl. Solo Maguwo stretch; the catalog's only 'Kanwil' hit ('Portable Wirogunan di Depan KANWIL DITJENPAS DIY', a Corrections office ~9km away on Jl. Wirogunan) is a different agency at a different location. Already independently rejected twice (route3a3b_batch3, route3a_shared_remaining)."
3B,53,bus-lap-karang-kotagede-85bec77d,TPB Lap. Karang Kotagede,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Karang'/Kotagede-field record anywhere in the catalog near this stop (between the resolved Kehutanan Gedongkuning and Tegal Gendu 2 anchors, lat -7.8196 to -7.8258); the catalog's only 'Karang' hits are Karang Waru/Karangjati, ~9km away on the north side of the city. Likely the same physical 'Lapangan Karang' field as 3A's TPB Lapangan Karang (seq34), served in the opposite direction, but neither side has a survey record. Already independently rejected (route3b_remainder_manual_review.v1.csv)."
3A,34,bus-lapangan-karang-5bfabf8e,TPB Lapangan Karang,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Lapangan Karang' record anywhere in the catalog. A geographic scan of the Tegal Gendu 1(-7.826,110.392)-to-Gedong Kuning(-7.8196,110.401) stretch finds only Gambiran A/B and the Ngeksigondo pair, real but distinctly-named records roughly 500m off the direct road line - not evidence of this stop. Same physical field as 3B's TPB Lap. Karang Kotagede (seq53), opposite direction; neither resolves. Already independently rejected (route3a_shared_remaining_manual_review.v1.csv)."
3A,42,bus-manna-kampus-d2f38df1,TPB Manna Kampus,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Manna' transit record in the catalog. The only 'Manna' hit in any raw source data is 'Manna resto' in mapid-missions.csv (struckgo/E-commerce dataset, coords 110.3654,-7.7712) - about 6km west of this stop's actual position between Janti Utara(110.4116,-7.7832) and Transmart Maguwo(110.4202,-7.7833), and it never made it into activity_stop_catalog.csv. A geographic scan of that direct stretch shows zero real survey points. Already independently rejected twice (route3a3b_batch3, route3a_shared_remaining)."
3B,45,bus-pasar-angkasa-e-020347ed,Pasar Angkasa (Timur),unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Angkasa' record anywhere in the catalog; falls in the same empty Bandara Adisucipto-to-Wonocatur gap documented for Hyundai and RS Hardjolukito (zero survey points over ~1.6km). Already independently rejected (route3b_remainder_manual_review.v1.csv)."
3B,52,bus-pegadaian-edf98ce4,TPB Pegadaian,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"The catalog's only 'Pegadaian' hit is 'Halte Portable UTY di Depan Kebab Nime didekat Pegadaian' (110.38839,-7.80558), which sits well off this stop's actual position between the resolved Kehutanan Gedongkuning(110.4011,-7.8196) and Lap Karang Kotagede anchors, on a different street (UTY/Glagahsari area). Already independently rejected (route3b_remainder_manual_review.v1.csv)."
3A,50,bus-polsek-depok-timur-74b977a6,TPB Polsek Depok Timur,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No Polsek/police-station record anywhere in the catalog. The nearest real records between the resolved RRU Disnaker(110.431,-7.7694) and UPN Veteran(110.408,-7.7607) anchors are STIE YKPN A/B (110.410,-7.767/-7.768) - a genuine but distinctly-named business school, not a police station. Already independently rejected twice (route3a3b_batch3, route3a_shared_remaining)."
3B,37,bus-polsek-depok-timur-74b977a6,TPB Polsek Depok Timur,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"Same stop_id/evidence as the 3A occurrence - no Polsek record anywhere in the catalog. Already independently rejected twice (route3a3b_batch3, route3a_shared_remaining)."
3B,50,bus-poltekkes-bsi-a1e35c13,TPB Poltekkes BSI,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Poltekkes'/'BSI' record anywhere in the catalog. A geographic scan of the Gedong Kuning Banguntapan(-7.8073,110.4022)-to-Kehutanan Gedongkuning(-7.8196,110.4011) stretch, where this stop sits, returns zero real survey points - the nearby Gambiran/Ngeksigondo records are roughly 500m off this road on a different street. Already independently rejected (route3b_remainder_manual_review.v1.csv)."
3B,38,bus-rru-instiper-1-baca4daa,TPB RRU Instiper 1,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Instiper' record anywhere in the catalog. This stop sits between the resolved Stikes Guna Bangsa(110.409,-7.7607) and RRU Binamarga(110.431,-7.7746) anchors; the real records in that span (STIE YKPN A/B, UPN Veteran, Disnaker) are distinctly named and already claimed by other stops on the parallel 3A/12 alignment. Already independently rejected (route3b_remainder_manual_review.v1.csv)."
3A,49,bus-rru-instiper-2-ea07186b,Halte RRU Instiper 2,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Instiper' record anywhere in the catalog, though the adjacent RRU Disnaker(110.431,-7.7694) and UPN Veteran(110.408,-7.7607) anchors are both resolved. Already independently rejected twice (route3a3b_batch3, route3a_shared_remaining)."
3B,46,bus-rs-hardjolukito-9e48d6f4,RS Hardjolukito,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Hardjolukito' record anywhere in the catalog. Falls in the same empty Bandara Adisucipto-to-Wonocatur stretch as Hyundai and Pasar Angkasa (zero survey points over ~1.6km) despite the adjacent Wonocatur(110.4065,-7.7987) anchor being resolved. Likely the same physical airbase-hospital location as 3A's Halte Blok O (RS Hardjolukito), opposite direction; neither resolves. Already independently rejected twice (route3a3b_batch3, route3a_shared_remaining)."
3A,35,bus-sma-5-7ee38138,TPB SMA 5,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"The only 'SMK/SMA 5'-named records are 'Halte SMKN 5 Yogyakarta A/B' near Gembira Loka (110.395,-7.800) - a different school (SMK vs SMA) about 2.5km west-southwest of this stop's actual position between Lapangan Karang and Gedong Kuning (110.401,-7.8196), off the direct corridor. Already independently rejected twice (route3a3b_batch3, route3a_shared_remaining)."
3B,39,bus-smk-tajem-ringroad-utara-5c71b7ff,TPB SMK Tajem Ringroad Utara,unmatched,,,,rejected,user+claude-sonnet-5,2026-09-13,"No 'Tajem' record anywhere in the catalog. This stop sits between the resolved Stikes Guna Bangsa and RRU Binamarga (Bina Marga) anchors on Ring Road Utara; the only real records in that span belong to the parallel STIE YKPN/Disnaker alignment and are not evidence of this stop. Already independently rejected (route3b_remainder_manual_review.v1.csv)."
