stop_id,stop_name,routes
bus-abadi-hotel-jogja-ae73687b,Abadi Hotel Jogja,1B
bus-alfamart-pokoh-e-c8fc8eb4,Alfamart Pokoh (T),14
bus-ambarukmo-plaza-2-565c1eec,Ambarukmo Plaza 2,1A|5A
bus-bkpm-b11114ea,BKPM,3B
bus-bpd-kalasan-c034d3b7,BPD Kalasan,1A
bus-badan-kepegawaian-di-yogyakarta-9ccbb65f,Badan Kepegawaian DI Yogyakarta,13|8
bus-barat-jembatan-moyudan-toko-saerah-c31b10c2,Barat Jembatan Moyudan (Toko Saerah),13
bus-barat-jembatan-moyudan-toko-saerah-2-4abe8813,Barat Jembatan Moyudan (Toko Saerah) 2,13
bus-barat-simpang-bantulan-2-00b7c5ce,Barat Simpang Bantulan 2,13
bus-batas-kota-jalan-monjali-w-68b41405,Batas Kota Jl. Monjali (Barat),2B
bus-batas-kota-jalan-monjali-timur-b05b374d,Batas Kota Jl. Monjali Timur,2A
bus-binamarga-e-ab7d8067,Binamarga (T),14
bus-blok-o-b354f518,Blok O,1B
bus-boulevard-uii-1c76a601,Boulevard UII,12|14
bus-budi-mulia-dua-w-ab139615,Budi Mulia Dua (B),14
bus-budi-mulia-dua-e-a55ed31d,Budi Mulia Dua (T),14
bus-cupuwatu-ac95b213,Cupuwatu,1A
bus-dentes-godean-s-a68a5086,Dentes Godean (S),13
bus-disnakertrans-w-93db3168,Disnakertrans (B),14
bus-disnakertrans-e-6b55bbd8,Disnakertrans (T),14
bus-disnakertrans-di-yogyakarta-2f728f54,Disnakertrans DI Yogyakarta,14
bus-dusun-kenthi-0ba5bcc5,Dusun Kenthi,14
bus-dusun-kenthi-2-e0d38c86,Dusun Kenthi 2,14
bus-dusun-kledokan-w-a0cbb57b,Dusun Kledokan (B),12
bus-dusun-kledokan-soto-brakot-fc4d12ed,Dusun Kledokan (Soto Brakot),12|14
bus-dusun-kledokan-soto-brakot-2-0ae3a409,Dusun Kledokan (Soto Brakot) 2,12|14
bus-dusun-kledokan-e-4b0dcd88,Dusun Kledokan (T),12
bus-eks-perpusda-80a03598,Eks Perpusda,11|2B|3B|8|EV3
bus-eks-stie-kerjasama-57790499,Eks STIE Kerjasama,2A|4B
bus-fip-uny-ffd961ca,FIP UNY,15
bus-fisipol-ugm-w-97df7db9,Fisipol UGM (Barat),5A
bus-fisipol-ugm-e-1c7537a9,Fisipol UGM (Timur),5B
bus-gkj-wirobrajan-e-23f9db6e,GKJ Wirobrajan (Timur),10
bus-gardu-pln-w-546add69,Gardu PLN (B),12
bus-gardu-pln-e-2cf004b2,Gardu PLN (T),12
bus-gedong-kuning-banguntapan-ccef67ea,Gedong Kuning Banguntapan,2B|3B
bus-gedung-juang-45-3299e2b0,Gedung Juang 45,1B|2B
