Jalur,Jumlah Armada,Rute,Jam Operasional,Rute Yang Dilewati
1A,9,Terminal Prambanan - Halte Malioboro 3,05.30 - 20.30,Terminal Prambanan - TPB Edotel Kalasan 2 - RS Bhayangkara - Portable Pasar Kalasan - Cupuwatu - Halte Jl. Solo KR 2 - Halte TJ Bandara Adisucipto - Halte Hyundai - Halte Jl. Solo (Jayakarta) - Halte Janti Selatan (Bawah Jembatan) - Halte Ambarukmo - Halte Gedung Wanita - Halte LPP - Halte Superindo Urip Sumoharjo - Halte RS Bethesda - Halte Sudirman Bumiputera - Halte Mangkubumi 1 - Halte Mangkubumi 2 - Eks Menara Kopi (Utara) - Halte Kridosono - Eks Menara Kopi (Selatan) - Halte Malioboro 1 - Halte Malioboro 2 (Kepatihan) - Halte Malioboro 3 - Taman Pintar - TPB Jl. Mayor Suryotomo 1 - Halte Progo - Halte Jl. Mataram Hotel Akur - Portable Teras Malioboro 2 - Eks Menara Kopi (Utara) - Halte Kridosono - Halte TJ YKPN - TPB Demangan - Halte TJ Solo (SMA Debrito) - Ambarukmo Plaza 2 - Halte Janti Selatan (Bawah Jembatan) - Halte Janti Utara - TPB Manna Kampus- Transmart Maguwo - Kantor Wilayah DJPb - Halte Jl. Solo Maguwo - Halte TJ Bandara Adisucipto - TPB Makam Sorogenen - TPB Jl. Solo KR 1 - BPD Kalasan - TPB Jl. Solo Kalasan - TPB Rs. Bhayangkara - TPB Edotel Kalasan 1 - Terminal Prambanan
1B,7,Halte Ngabean - Bandara Adi Sutjipto,05.30 - 20.30,Halte Ngabean - Halte KHA Dahlan (Utara) - Taman Pintar - Pakualaman - Taman Makam Pahlawan (Utara) - Makam Gajah (Utara) - SGM Kusumanegara (Utara) - Gedung Juang 45 - JEC - Blok O - Halte Janti Utara - TPB Manna Kampus - Transmart Maguwo – Kantor Wilayah DJPb – Halte Jl. Solo Maguwo - Halte TJ Bandara Adisucipto - Halte Hyundai - Halte Jl. Solo (Jayakarta) - Halte Janti Utara - Halte Mall Sahid J-Walk - TPB Tambak Bayan 1 - TPB Ruko Babarsari - Kledokan - Pasar Angkasa (Timur) - Halte RS dr.S.HARDJOLUKITO - Wonocatur - TPB BKPM DIY - Halte Kusumanegara (Gembira Loka) - Halte SGM Kusumanegara (Selatan) - TPB Makam Gajah (Selatan) - Taman Makam Pahlawan (Selatan) - Pasar Sentul (Selatan) - Museum Biologi - Suryotomo - Progo - Jl. Mataram Hotel Akur - Portable Teras Malioboro 2 - Halte Abu Bakar Ali - Abadi Hotel Jogja - Stasiun Yogyakarta - Jlagran - Letjen Suprapto - SDN Gedong Tengen - KS Tubun - Halte Ngabean
2A,6,Terminal Condong Catur - Halte Malioboro 3,05.30 - 20.30,Terminal Condong Catur - TPB RRU Manggung - Monjali (Selatan) - Terminal Jombor - Monjali (Utara) - PDAM Monjali - SPBU Monjali (Timur) - Karangjati (Timur) - Batas Kota Jl. Monjali Timur - Halte A.M. Sangaji (Timur) - Pasar Kranggan (Timur) - Halte Mangkubumi 1 - Halte Mangkubumi 2 - Eks Menara Kopi (Utara) - Halte Kridosono - Eks Menara Kopi (Selatan) - Halte Malioboro 1 - Halte Malioboro 2 (Kepatihan) - Halte Malioboro 3 - Taman Pintar - Jogjatronik - TPB Katamso 1 (Purawisata) - SDN Kintelan - Halte Kol.Sugiono 1 (Pujokusuman) - Eks STIE Kerjasama - Halte Rsi Hidayatullah - TPB Gambiran 2 Jl. Veteran Kota - Jl. Perintis Kemerdekaan - Halte Ngeksigondo Diklat Pu - TPB SMP 9 Kota - Halte Gedong Kuning - TPB Pilar 1 Gedong Kuning Kota - TPB Banguntapan 1 Gedong Kuning - Gembira Loka - SGM Kusumanegara (Selatan) - Makam Gajah (Selatan) - KPPN (Jl. Cendana) - TPB GOR Among Rogo - Halte Kenari 1 - SMP Kanisius Gayam (Barat) - TPB Eks Bioskop Mataram - Halte Kridosono - UKDW - Halte RS Bethesda - Halte TJ Cik Di Tiro 2 - TPB SMPN 1 Yogyakarta - Halte TJ Colombo (Kosudgama) - TPB Jl. Colombo (UNY) - Plaza UNY - Halte Santren - Halte Prayan (Barat) - SPBU Condongcatur (Barat) - Terminal Condong Catur
2B,8,Condong Catur - Halte Ngabean,05.30 - 20.30,Terminal Condong Catur - SPBU Condongcatur (Timur) - Halte Prayan (Timur) - TPB Susteran Novisiat - Halte Sanata Dharma - JL Colombo (Samirono) - JL Colombo (Panti Rapih) - TPB Panti Rapih - Halte Cik Di Tiro 1 - Halte Bulog - Halte Kridosono - Lempuyangan Gudang (Utara) - Stasiun Lempuyangan - TPB SMP Kanisius Gayam (Timur) - Halte TJ Kenari 2 - TPB Among Rogo Kota - Makam Gajah (Utara) - SGM Kusumanegara (Utara) - Gedung Juang 45 - Gedong Kuning Banguntapan - TPB Poltekkes BSI - TPB Kehutanan Gedongkuning - TPB SMP 9 Basen - Halte Ngeksigondo Basen - Jl. Perintis Kemerdekaan (Selatan) - TPB Gambiran 1 - TPB Jl. Veteran - Halte PSKY - TPB Pasar Sepeda Tunjungsari - Halte Sugiono 2 - TPB Purawisata - Halte Katamso 2 - Senopati - Halte KHA Dahlan (Selatan) - Halte Ngabean - TPB Pasar Serangan - Halte Cokroaminoto SMA 1 - Halte SMPN 11 - Eks Perpusda - Halte SMP N 14 - Hotel Utara - Eks Borobudur Plaza - SMK N 3 - AM Sangaji (Barat) - Batas Kota Jl. Monjali (Barat) - Karangjati (Barat) - SPBU Monjali (Barat) - PDAM Monjali (Barat) - Monjali (Selatan) - Terminal Jombor - Monjali (Utara) - Halte TJ RRU Kentungan - Terminal Condong Catur
3A,10,Terminal Condong Catur - Terminal Giwangan,05.30 - 20.30,Terminal Condong Catur - TPB RRU Manggung - Hokben Jakal (Timur) - TPB McD Jakal - Biologi UGM - Halte RS Sardjito (Timur) - FKG UGM (Utara) - Halte GIK UGM - TPB Panti Rapih - Halte Cik Di Tiro 1 - Halte Bulog - Halte Kridosono - Eks Menara Kopi (Selatan) - Halte Malioboro 1 - Halte Malioboro 2 (Kepatihan) - Halte Malioboro 3 - KHA Dahlan (Selatan) - Halte Ngabean - Portable Tamansari - TPB MT Haryono 1 (Jokteng Kulon) - TPB Jl. Mayjen Sutoyo (Plengkung Gading) - Halte Kol. Sugiono 1 (Pujokusuman) - TPB Lowanu - TPB UNU Yogyakarta - TPB Widya Wiwaha 1 - TPB Sorogenen (Wirosaban) - TPB Tegal Turi 1 - TPB Gudang SGM 2 - TPB Pasar Giwangan 2 - Terminal Giwangan - TPB Pasar Giwangan 1 - TPB Gudang SGM - Halte Tegal Gendu 1 - TPB Lapangan Karang - TPB SMA 5 - Halte Gedong Kuning - TPB Pilar 1 Gedong Kuning Kota - TPB Banguntapan 1 Gedong Kuning - Halte JEC - Halte Blok O (RS Hardjolukito) - Halte Janti Utara - TPB Manna Kampus - Transmart Maguwo - Kantor Wilayah DJPb - Halte Jl. Solo Maguwo - Halte TJ Bandara Adisucipto - Kantor Kesehatan Pelabuhan Yogya - TJ RRU Disnaker - Halte RRU Instiper 2 - TPB Polsek Depok Timur - Halte UPN Veteran - Pakuwon Mall (Selatan) - Terminal Condong Catur
3B,9,Terminal Giwangan - Condong Catur,05.30 - 20.30,Terminal Giwangan - TPB Pasar Giwangan 1 - TPB Gudang SGM - TPB Tegal Turi 2 - Halte Nitikan - TPB Widya Wiwaha 2 - TPB PA Muhammadiyah - Halte Sugiono 2 - Portabel Jl. Mayjen Sutoyo (Jokteng Wetan) - Portabel Jl. Mayjen Sutoyo (Pasar Gading) - Halte MT Haryono 2 (SMA N 7) - Portabel Tejokusuman (Tamansari) - Halte Ngabean - Halte KHA Dahlan (Utara) - Portabel Bhayangkara - Portabel Pasar Pathuk - Sosrowijayan - Stasiun Yogyakarta - Jlagran - Eks Perpusda - Halte SMP N 14 - Halte Pasar Kranggan - Halte Sudirman (Santika) - Halte TJ Cik Di Tiro 2 - TPB SMPN 1 Yogyakarta - Vokasi UGM - FKG UGM (Selatan) - Halte RS Sardjito (Barat) - MM UGM - TPB Hotel Vidi Jakal - Hokben Jakal (Barat) - Halte TJ RRU Kentungan - Terminal Condong Catur - Pakuwon Mall (Utara) - JIH - Halte Stikes Guna Bangsa - TPB Polsek Depok Timur - TPB RRU Instiper 1 - TPB SMK Tajem Ringroad Utara - Halte TJ RRU (Binamarga) - Halte Jl. Solo Maguwo - Halte TJ Bandara Adisucipto - Halte Hyundai - Halte Jl. Solo (Jayakarta) - Pasar Angkasa (Timur) - RS Hardjolukito - Wonocatur - BKPM - Gedong Kuning Banguntapan - TPB Poltekkes BSI - TPB Kehutanan Gedongkuning - TPB Pegadaian - TPB Lap. Karang Kotagede - Halte TJ Tegal Gendu 2 - TPB Gudang SGM 2 - TPB Pasar Giwangan 2 - Terminal Giwangan
4A,4,Terminal Giwangan - RSUP Sardjito,05.30 - 20.30,Terminal Giwangan – TPB Pasar Giwangan 1 – TPB Gudang SGM – Halte Muhammadiyah 3 – TPB Jl. Pramuka – TPB Pasar Sepeda Tunjungsari – Nyutran Tamansiswa – Wirogunan (Barat) – Pasar Sentul (Selatan) - Museum Biologi – Hayam Wuruk (Barat) – TPB Pasar Lempuyangan - Stasiun Lempuyangan – Halte Krisdosono – UKDW – Halte RS Bethesda – Halte TJ Cik Di Tiro 2 – TPB SMPN 1 Yogyakarta – Vokasi UGM – FKG UGM (Selatan) – Halte RS Sardjito (Barat) – MM UGM – TPB Hotel Vidi Jakal - Hokben Jakal (Barat) - Halte TJ RRU Kentungan - Terminal Condong Catur - SPBU Condongcatur (Timur) - Prayan (Timur) - Susteran Novisiat - Halte Sanata Dharma - Pasar Demangan - TPB Demangan - Halte TJ Solo (SMA De Britto) - UIN Sunan Kalijaga (Barat) - APMD (Timur) - Timoho (Timur) - SMK N 5 (Utara) - SGM Kusumanegara (Selatan) - UTY Glagahsari (Timur) - Makam Prajurit (Timur) - Halte PSKY - Halte TJ Univeristas Ahmad Dahlan - TPB Gudang SGM 2 - TPB Pasar Giwangan 2 - Terminal Giwangan
4B,4,Terminal Giwangan - UGM,05.30 - 20.30,TPB Pasar Giwangan 1 - TPB Gudang SGM - Halte Muhammadiyah 3 - Halte TJ Universitas Ahmad Dahlan - TPB Jl. Pramuka - Pandeyan (Barat) - UTY Glagahsari (Barat) - Olive Glagahsari (Barat) - SGM Kusumanegara (Utara) - SMK N 5 (Selatan) - Timoho (Barat) - APMD (Barat) - UIN Sunan Kalijaga (Timur) - Halte Gedung Wanita - RRI Gejayan - Plaza UNY - Santren - Prayan (Barat) - SPBU Condongcatur (Barat) - Terminal Condong Catur - TPB RRU Manggung - Hokben Jakal (Timur) - TPB Mcd Jakal - Biologi UGM - Halte RS Sardjito (Timur) - FKG UGM (Utara) - Halte GIK UGM - MAN 1 Yogyakarta - Halte PDIN C Simanjuntak - Halte Bulog - Halte Kridosono - Lempuyangan Gudang (Utara) - Hayam Wuruk (Timur) - Pakualaman - Wirogunan (Timur) - STSRD Visi Tamansiswa - Eks STIE Kerjasama - Halte TJ Universitas Ahmad Dahlan - TPB Gudang SGM 2 - TPB Pasar Giwangan 2 - Terminal Giwangan
5A,5,Terminal Jombor - Ambarukmo,05.30 - 20.30,Terminal Jombor - Indogrosir - Jogja City Mall (Timur) - Atakrib Jl. Magelang - TPB TVRI (Timur) - Karangwaru (Timur) - Eks Borobudur Plaza - SMK N 3 - Fisipol UGM (Barat) - TPB Panti Rapih - Halte Cik Di Tiro 1 - Halte Bulog - Halte Kridosono - Halte TJ YKPN - TPB Demangan - Halte TJ Solo (SMA De Britto) - Ambarukmo Plaza 2 - Halte Janti Selatan (Bawah Jembatan) - Halte Janti Utara - Halte Mall Sahid J-Walk - TPB Tambak Bayan 1 - TPB Ruko Babarsari - STIE YKPN (Barat) - Halte UPN Veteran - Pakuwon Mall (Selatan) - Terminal Condong Catur - TPB RRU Manggung - Hokben Jakal (Timur) - TPB McD Jakal - FKG UGM (Selatan) - Halte RS Sardjito (Barat) - Teknik UGM (Selatan) - SPBU Monjali (Barat) - PDAM Monjali (Barat) - Monjali (Selatan) - Terminal Jombor
5B,4,Terminal Jombor - Bandara Adi Sutjipto,05.30 - 20.30,Terminal Jombor - Monjali (Utara) - PDAM Monjali - SPBU Monjali (Timur) - Teknik UGM (Utara) - Halte RS Sardjito (Timur) - FKG UGM (Utara) - TPB Hotel Vidi Jakal - Hokben Jakal Barat - Halte TJ RRU Kentungan - Terminal Condong Catur - Pakuwon Mall (Utara) - JIH - Halte Stikes Guna Bangsa - STIE YKPN (Timur) - SMP N 4 Depok - Dishub DIY - TPB Manna Kampus - Transmart Maguwo - Kantor Wilayah DJPb - Halte Jl. Solo Maguwo - Halte TJ Bandara Adisucipto - Halte Hyundai - Halte Jl. Solo (Jayakarta) - Halte Janti Selatan (Bawah Jembatan) - Halte Ambarukmo - Halte Gedung Wanita - Halte LPP - Halte Superindo Urip Sumoharjo - Halte RS Bethesda - Halte Bulog - Halte Kridosono - TPB Suroto 1 - Halte TJ Cik Di Tiro 2 - TPB SMPN 1 Yogyakarta - Fisipol UGM (Timur) - SMP N 6 - Kricak - Karangwaru (Barat) - TVRI (Barat) - Daytrans Jl. Magelang - Jogja City Mall (Barat) - MMTC Yogya - Terminal Jombor
